row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:<blank>,9:<blank>,10:This,11:sentence,12::,"13:""",14:dru,15:ce,16:will,17:face,18:murder,19:charges,"20:,",21:conte,22:said,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
L6-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98650509,0.00062521,0.00050641,0.00210572,0.00091475,0.00086380,0.00006739,0.00007551,0.00024793,0.00010631,0.00022551,0.00049262,0.00025998,0.00009437,0.00375822,0.00058767,0.00256340,0.00000000,0.00000000,0.00000000,0.00000000
L6-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99136311,0.00253081,0.00045624,0.00101352,0.00034721,0.00007885,0.00005463,0.00000564,0.00001683,0.00000534,0.00019294,0.00002844,0.00077637,0.00001578,0.00015918,0.00030351,0.00003797,0.00261361,0.00000000,0.00000000,0.00000000
L6-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99236298,0.00100037,0.00276018,0.00055670,0.00035183,0.00021751,0.00007953,0.00002442,0.00000245,0.00005222,0.00003698,0.00003422,0.00018827,0.00016493,0.00027613,0.00020134,0.00006879,0.00000361,0.00161752,0.00000000,0.00000000
L6-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.97739214,0.00047426,0.00043217,0.00757631,0.00081883,0.00057688,0.00004796,0.00001164,0.00020503,0.00003332,0.00136194,0.00022031,0.00095280,0.00000552,0.00180776,0.00306424,0.00230005,0.00036134,0.00002723,0.00233024,0.00000000
"L6-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.85662776,0.00179051,0.00072930,0.00017297,0.00415354,0.09403148,0.00013299,0.00057242,0.00007916,0.00052758,0.00005444,0.00064760,0.00241052,0.00013132,0.00068469,0.00098503,0.03345146,0.00040831,0.00000598,0.00002687,0.00237610
L6-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.96085021,0.00128423,0.00097686,0.00228504,0.00131723,0.01915370,0.00007650,0.00013793,0.00011028,0.00014495,0.00037436,0.00028464,0.00091759,0.00008239,0.00133720,0.00102836,0.00768433,0.00067737,0.00033015,0.00047142,0.00047522
L7-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99400377,0.00052109,0.00022325,0.00190617,0.00060521,0.00046815,0.00000418,0.00005077,0.00002853,0.00009054,0.00002734,0.00004270,0.00007546,0.00009541,0.00085082,0.00017215,0.00083438,0.00000000,0.00000000,0.00000000,0.00000000
L7-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99309474,0.00167269,0.00034293,0.00062976,0.00019573,0.00005577,0.00000057,0.00000177,0.00000173,0.00004420,0.00002202,0.00001016,0.00043118,0.00005077,0.00009712,0.00013561,0.00006922,0.00314396,0.00000000,0.00000000,0.00000000
L7-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99190754,0.00234296,0.00078239,0.00067258,0.00013807,0.00003795,0.00000080,0.00000287,0.00000050,0.00002931,0.00000907,0.00000170,0.00010870,0.00030799,0.00008781,0.00006483,0.00002516,0.00001476,0.00346507,0.00000000,0.00000000
L7-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99257916,0.00087601,0.00023840,0.00262115,0.00071685,0.00028652,0.00000717,0.00000879,0.00001046,0.00003911,0.00005888,0.00000236,0.00002815,0.00000734,0.00015673,0.00008201,0.00025948,0.00006060,0.00002274,0.00193810,0.00000000
"L7-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.92981279,0.00180183,0.00065489,0.00065979,0.00645007,0.05465866,0.00005589,0.00028228,0.00010019,0.00039363,0.00000900,0.00002483,0.00029368,0.00003817,0.00082989,0.00091479,0.00235651,0.00013299,0.00000896,0.00001801,0.00050309
L7-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98027960,0.00144292,0.00044837,0.00129789,0.00162119,0.01110141,0.00001372,0.00006930,0.00002828,0.00011936,0.00002526,0.00001635,0.00018743,0.00009994,0.00040447,0.00027388,0.00070895,0.00067046,0.00069935,0.00039122,0.00010062
L8-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99482876,0.00018061,0.00002657,0.00073276,0.00042210,0.00005952,0.00000107,0.00000712,0.00007925,0.00014583,0.00004248,0.00036254,0.00043683,0.00007310,0.00159433,0.00010855,0.00089858,0.00000000,0.00000000,0.00000000,0.00000000
L8-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99694115,0.00043328,0.00001354,0.00004534,0.00003690,0.00000039,0.00000002,0.00000002,0.00000054,0.00000823,0.00001453,0.00000468,0.00173940,0.00000552,0.00000958,0.00003802,0.00000313,0.00070577,0.00000000,0.00000000,0.00000000
L8-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99903452,0.00016948,0.00022364,0.00003724,0.00001045,0.00000520,0.00000016,0.00000033,0.00000002,0.00005290,0.00000615,0.00000213,0.00005261,0.00029713,0.00001567,0.00002286,0.00000848,0.00000065,0.00006044,0.00000000,0.00000000
L8-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99706310,0.00006187,0.00002387,0.00047693,0.00009529,0.00000953,0.00000174,0.00000433,0.00003679,0.00001452,0.00048132,0.00003354,0.00013043,0.00000261,0.00027413,0.00056611,0.00069717,0.00001942,0.00000038,0.00000683,0.00000000
"L8-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.81303394,0.00035655,0.00071976,0.00002174,0.00124427,0.17957579,0.00000090,0.00015072,0.00001018,0.00053479,0.00000514,0.00003742,0.00062108,0.00003132,0.00009624,0.00023350,0.00319625,0.00005192,0.00000074,0.00000298,0.00007470
